"country","suicideRank","total","male","female","totalNumber"
"lithuania","1","31.9000","58.1000","9.5000","894"
"russia","2","31","55.9000","9.4000","45178"
"guyana","3","29.2000","43.7000","14.4000","227"
"south korea","4","26.9000","38.4000","15.4000","13765"
"belarus","5","26.2000","46.9000","8.2000","2477"
"suriname","6","22.8000","34.7000","10.9000","131"
"kazakhstan","7","22.5000","38.3000","7.6000","4122"
"ukraine","8","22.4000","41.1000","6.3000","9911"
"latvia","9","21.2000","37.6000","7.3000","409"
"lesotho","10","21.2000","17.8000","24.4000","447"
"belgium","11","20.7000","27.8000","13.8000","2377"
"hungary","12","19.1000","29.7000","9.6000","1854"
"slovenia","13","18.6000","30.4000","6.9000","386"
"japan","14","18.5000","26","11.4000","23532"
"uruguay","15","18.4000","29.2000","8.3000","635"
"estonia","16","17.8000","30.6000","6.6000","235"
"france","17","17.7000","23.9000","11.7000","11503"
"switzerland","18","17.2000","22","12.4000","1466"
"croatia","19","16.5000","25.6000","7.9000","686"
"equatorial guinea","20","16.4000","23.5000","7.7000","215"
"india","21","16.3000","17.8000","14.7000","220481"
"poland","22","16.2000","28.9000","4.3000","6143"
"finland","23","15.9000","23.9000","8.1000","878"
"moldova","24","15.9000","27.9000","4.7000",""
"austria","25","15.6000","23.9000","7.7000","1387"
"serbia","26","15.6000","23.5000","8.1000","1373"
"united states","27","15.3000","23.6000","7.2000",""
"sweden","28","14.8000","19.1000","10.5000","1476"
"sri lanka","29","14.6000","23.5000","6.4000","3099"
"Ivory Coast","30","14.5000","20.6000","8.3000",""
"kiribati","31","14.4000","24.1000","5","17"
"thailand","32","14.4000","23.4000","5.9000","9998"
"iceland","33","14","22.3000","5.6000","47"
"portugal","34","14","22.2000","6.5000","1436"
"cuba","35","13.9000","22.1000","5.8000","1576"
"el salvador","36","13.7000","24.2000","4.5000","880"
"germany","37","13.6000","19.7000","7.7000","11305"
"trinidad and tobago","38","13.6000","23","4.5000","189"
"luxembourg","39","13.5000","18.6000","8.3000","82"
"Swaziland","40","13.3000","19.5000","7.5000",""
"australia","41","13.2000","19.5000","7","3287"
"czech republic","42","13.1000","21.4000","5.1000",""
"mongolia","43","13","22.6000","3.5000","412"
"denmark","44","12.8000","17.3000","8.2000","736"
"slovakia","45","12.8000","22.7000","3.5000","698"
"netherlands","46","12.6000","16.2000","9","2150"
"canada","47","12.5000","18.1000","7","4634"
"bolivia","48","12.2000","15.8000","8.6000",""
"cameroon","49","12.2000","17.1000","7.4000","3076"
"nicaragua","50","12.2000","19.3000","5.3000","789"
"norway","51","12.2000","15.9000","8.4000","651"
"new zealand","52","12.1000","17.9000","6.6000","574"
"haiti","53","11.7000","17","6.5000","1301"
"south africa","54","11.6000","18.7000","4.7000","6704"
"bulgaria","55","11.5000","18.2000","5.1000","811"
"ireland","56","11.5000","18.5000","4.6000","554"
"bhutan","57","11.4000","14","8.5000","86"
"cape verde","58","11.3000","16.5000","6.1000",""
"north korea","59","11.2000","14.1000","8.5000","2862"
"micronesia","60","11.1000","15.8000","6.3000",""
"zimbabwe","61","10.7000","15.7000","6","1545"
"chile","62","10.6000","17.2000","4","1985"
"romania","63","10.4000","17.9000","3.3000","2029"
"montenegro","64","10.3000","15.4000","5.3000","65"
"benin","65","9.9000","13.9000","5.9000","1137"
"dominican republic","66","9.9000","16.8000","3.1000","1052"
"singapore","67","9.9000","13.8000","6.1000","570"
"uganda","68","9.9000","10.7000","9.1000","4230"
"china","69","9.7000","9.1000","10.3000","138482"
"sierra leone","70","9.7000","11.3000","8.1000","742"
"togo","71","9.6000","12.8000","6.4000","757"
"nigeria","72","9.5000","9.9000","9.2000","18608"
"paraguay","73","9.5000","12.4000","6.5000","661"
"botswana","74","9.3000","14.2000","4.5000","210"
"seychelles","75","9.3000","16.4000","2.4000","9"
"argentina","76","9.2000","15.1000","3.5000","4081"
"burundi","77","9.1000","13.4000","4.9000","1017"
"united kingdom","78","8.9000","13.5000","4.4000",""
"bosnia and herzegovina","79","8.8000","14.1000","3.6000","293"
"chad","80","8.8000","10.3000","7.4000","1362"
"nepal","81","8.8000","9.7000","7.9000","2472"
"namibia","82","8.7000","14.1000","3.6000","213"
"spain","83","8.7000","13.1000","4.5000","4062"
"laos","84","8.6000","11.4000","5.7000",""
"yemen","85","8.5000","11.3000","5.6000","2422"
"kyrgyzstan","86","8.3000","13.2000","3.5000","523"
"georgia","87","8.2000","14.2000","2.7000","328"
"italy","88","8.2000","12.1000","4.5000","4971"
"sudan","89","8.1000","12.2000","4","3386"
"costa rica","90","7.9000","13.5000","2.4000","395"
"eritrea","91","7.9000","12.3000","3.6000","273"
"macedonia","92","7.9000","11.9000","3.9000",""
"mauritius","93","7.8000","13.3000","2.4000","99"
"myanmar","94","7.8000","5.9000","9.5000","4189"
"saint lucia","95","7.8000","13.5000","2.2000","14"
"burkina faso","96","7.7000","10.2000","5.3000","1521"
"central african republic","97","7.7000","11.5000","4","359"
"malta","98","7.5000","12.1000","2.8000","33"
"uzbekistan","99","7.4000","9.9000","4.8000","2403"
"turkey","100","7.3000","11.4000","3.3000","6011"
"vietnam","101","7.3000","10.9000","3.7000",""
"colombia","102","7.2000","11.6000","2.8000","3576"
"ethiopia","103","7.2000","11.2000","3.1000","7864"
"ecuador","104","7.1000","10.3000","3.9000","1213"
"gabon","105","7.1000","10.7000","3.2000","150"
"comoros","106","6.8000","9.9000","3.6000","57"
"liberia","107","6.8000","7.1000","6.6000","328"
"djibouti","108","6.7000","9","4.3000","64"
"rwanda","109","6.7000","9.7000","3.8000","824"
"turkmenistan","110","6.7000","10.1000","3.5000","392"
"armenia","111","6.6000","10.8000","2.8000","195"
"qatar","112","6.6000","8.5000","0.9000","184"
"brazil","113","6.5000","10","3.1000","13616"
"albania","114","6.3000","7.9000","4.7000","182"
"guinea","115","6.3000","7.5000","5","782"
"zambia","116","6.1000","8.8000","3.5000","1058"
"papua new guinea","117","6","8.6000","3.3000","516"
"senegal","118","6","9.3000","2.9000","951"
"bahrain","119","5.9000","8.4000","1.9000","93"
"bangladesh","120","5.9000","4.7000","7","9521"
"Republic of the congo","121","5.9000","8.4000","3.3000",""
"DR congo","122","5.7000","8.4000","2.9000",""
"malaysia","123","5.5000","7.8000","3.2000","1734"
"ghana","124","5.4000","8.7000","2.1000","1607"
"israel","125","5.4000","8.1000","2.7000","453"
"tanzania","126","5.4000","7.7000","3.2000",""
"cambodia","127","5.3000","7.8000","2.9000","861"
"cyprus","128","5.3000","8.2000","2.3000","63"
"libya","129","5.2000","8.1000","2.2000","347"
"gambia","130","5.1000","6.6000","3.7000","116"
"mexico","131","5.1000","8","2.3000","6436"
"fiji","132","5","7.5000","2.4000","44"
"greece","133","5","8.1000","2","526"
"mozambique","134","4.9000","7.4000","2.5000","1445"
"peru","135","4.9000","7.2000","2.7000","1567"
"mali","136","4.8000","6.9000","2.7000","916"
"afghanistan","137","4.7000","7.6000","1.5000","1747"
"angola","138","4.7000","7","2.5000","1448"
"belize","139","4.7000","7.9000","1.6000","18"
"solomon islands","140","4.7000","6.8000","2.6000","31"
"somalia","141","4.7000","6.3000","3.1000","705"
"brunei","142","4.6000","6.4000","2.7000",""
"niger","143","4.6000","5.9000","3.3000","1032"
"timor-leste","144","4.6000","6.2000","2.9000","58"
"vanuatu","145","4.5000","6.6000","2.2000","13"
"mauritania","146","4.4000","6.6000","2.2000","194"
"samoa","147","4.4000","6.7000","1.9000","9"
"panama","148","4.3000","7.4000","1.2000","180"
"iran","149","4.1000","5","3.1000",""
"egypt","150","4","6.4000","1.5000","3937"
"guinea-bissau","151","4","4.7000","3.3000","75"
"madagascar","152","3.9000","5.6000","2.2000","1024"
"oman","153","3.9000","5.6000","0.8000","188"
"malawi","154","3.7000","5.8000","1.6000","671"
"south sudan","155","3.7000","4.9000","2.6000","406"
"venezuela","156","3.7000","6.3000","1.1000",""
"tonga","157","3.5000","4.3000","2.7000","4"
"indonesia","158","3.4000","4.8000","2","9101"
"tunisia","159","3.4000","4.4000","2.3000","393"
"lebanon","160","3.3000","4.2000","2.4000","226"
"algeria","161","3.2000","4.7000","1.7000","1351"
"kenya","162","3.2000","5.1000","1.2000","1645"
"philippines","163","3.2000","4.3000","2","3413"
"saudi arabia","164","3.2000","4.5000","1.5000","1078"
"iraq","165","3","3.4000","2.6000","1153"
"honduras","166","2.9000","4.4000","1.5000","278"
"jordan","167","2.9000","3.6000","2.2000","289"
"morocco","168","2.9000","2.3000","3.4000","1045"
"pakistan","169","2.9000","2.7000","3","6155"
"united arab emirates","170","2.8000","3.6000","0.7000","270"
"guatemala","171","2.7000","3.7000","1.8000","466"
"azerbaijan","172","2.6000","4.2000","1.1000","259"
"tajikistan","173","2.5000","3.7000","1.3000","228"
"saint vincent and the grenadines","174","2.4000","3.9000","0.9000","3"
"kuwait","175","2.3000","2.8000","1.7000","95"
"maldives","176","2.3000","3","1.3000","12"
"sao tome and principe","177","2.3000","3","1.6000","5"
"jamaica","178","2.2000","3.3000","1","65"
"syria","179","1.9000","2.9000","0.9000",""
"bahamas","180","1.7000","3","0.5000","7"
"grenada","181","1.7000","1.5000","1.9000","2"
"barbados","182","0.8000","1","0.5000","2"
"antigua and barbuda","183","0.5000","0","0.9000","0"